State,homicideRate2017,firearmDeathRate,firearmDeaths
LA,12.4,18.5,858
MO,9.8,12.9,752
NV,9.1,16.1,390
MD,9,11.9,657
AZ,8.6,15.7,439
AK,8.4,17.5,116
AL,8.3,16,736
MS,8.2,16,455
TN,7.8,16,976
SC,7.8,13.8,589
IL,7.8,8,1019
NM,7.1,13.9,267
GA,6.7,12.1,1064
OK,6.2,13.2,468
OH,6.1,9.6,1116
IN,6,11.2,705
KY,5.9,13,548
AR,5.9,16.1,934
PA,5.8,10.8,1352
NC,5.8,12.8,1119
MI,5.7,10.8,1074
DE,5.6,8.8,75
KS,5.5,9.3,257
VA,5.3,11.5,888
TX,5,11.1,2490
FL,5,10,1838
WV,4.7,13.8,261
CA,4.6,9.5,3453
MT,3.9,16.9,161
CO,3.9,11.6,535
NJ,3.6,5.2,434
IA,3.3,6.7,201
WI,3.2,8.5,474
WA,3.1,8.8,567
SD,2.9,10.2,82
NY,2.8,5.3,1019
CT,2.8,5.3,187
HI,2.7,2.1,28
WY,2.6,13.4,71
OR,2.5,10.7,402
MA,2.5,3.4,224
UT,2.4,10.1,227
VT,2.2,6.8,44
NE,2.2,7.7,135
MN,2,7,361
RI,1.9,3.6,39
ID,1.9,14.1,195
ME,1.7,7.8,109
ND,1.3,8.8,61
NH,1,6.6,88
